gene_id	gene_name	Control_R1	Control_R2	Control_R3	VSOP_R1	VSOP_R2	VSOP_R3
ENSG00000000003.15	TSPAN6	0	1	0	0	0	0
ENSG00000000005.6	TNMD	0	0	0	0	0	0
ENSG00000000419.12	DPM1	2056.001	2005	1829	2081.001	1940	2087.001
ENSG00000000457.14	SCYL3	551	730	575	618	574	719.001
ENSG00000000460.17	C1orf112	441	548	504	437.001	464	474
ENSG00000000938.13	FGR	40542	50367	29063.001	64500	49593.999	40750.999
ENSG00000000971.16	CFH	2	1	6	1	2	4
ENSG00000001036.14	FUCA2	5641	5646.001	5481	6480	5941	6609.001
ENSG00000001084.13	GCLC	14336.999	15166	7716	17302	13538.001	9490.001
ENSG00000001167.14	NFYA	2679	3076	2642	2722	2719	2930
ENSG00000001460.18	STPG1	34	32.999	29.999	53	31	40
ENSG00000001461.17	NIPAL3	482	632	581	458.001	538.001	506
ENSG00000001497.16	LAS1L	2539	2560	2736.999	2820	2372.999	3038.999
ENSG00000001561.7	ENPP4	505	508	759	757	539	1187
ENSG00000001617.12	SEMA3F	3	6	4	5	5	1
ENSG00000001626.16	CFTR	0	0	0	0	0	0
ENSG00000001629.10	ANKIB1	2896.999	3373	3150	2859.001	2971	3234
ENSG00000001630.17	CYP51A1	3178.65	4123.096	3799.828	3118.44	3319.838	3762.343
ENSG00000001631.15	KRIT1	1559.836	1830.848	1702.343	1858.352	1634.713	1823.616
ENSG00000002016.18	RAD52	483.593	689.495	475.002	616	518.705	574.082
ENSG00000002079.14	MYH16	5	5	13	7	5	9
ENSG00000002330.13	BAD	517.001	557	464	578	525	577.001
ENSG00000002549.12	LAP3	7109.919	7690.915	7868.68	7756.774	6731.871	8531.9
ENSG00000002586.20	CD99	4063.21	3433.21	3453.186	4232.767	3476.09	4231.773
ENSG00000002586.20_PAR_Y	CD99	3394.791	3762.791	3344.815	4896.233	3123.91	4728.228
ENSG00000002587.10	HS3ST1	182	236	284	193	264	632
ENSG00000002726.20	AOC1	77	208	14	77	198	34
ENSG00000002745.13	WNT16	1	0	0	0	0	0
ENSG00000002746.15	HECW1	0	0	0	0	0	0
ENSG00000002822.15	MAD1L1	2966.711	3785.612	3394.114	3159.011	3094.425	3611.282
ENSG00000002834.18	LASP1	47330	52420	46775	53084	49786.999	52569.999
ENSG00000002919.14	SNX11	2003.999	2353	2316.999	2027.001	2070	2546.001
ENSG00000002933.9	TMEM176A	202	8565.001	251	286	7765	318
ENSG00000003056.8	M6PR	32582.999	38266.999	36945	35935.999	35805.001	41983.999
ENSG00000003096.14	KLHL13	1	0	1	2	1	0
ENSG00000003137.8	CYP26B1	0	0	2	1	1	0
ENSG00000003147.19	ICA1	50.038	89	58	72	55.001	60.999
ENSG00000003249.14	DBNDD1	0	2	3	0	0	1
ENSG00000003393.15	ALS2	1332.999	1397.001	1365.999	1481.001	1307.999	1735
ENSG00000003400.15	CASP10	1593.999	1649.999	1624	1482	1360.999	1593
ENSG00000003402.20	CFLAR	19951.115	28891.32	23050.252	21846.356	25423.267	25295.917
ENSG00000003436.16	TFPI	190.001	578	248	348	527.999	373.001
ENSG00000003509.16	NDUFAF7	670	747.001	805	774.002	730	861.001
ENSG00000003756.17	RBM5	6013.96	8035.001	7013.002	7248.997	6710.999	7811.999
ENSG00000003987.14	MTMR7	2	1	3	0	0	0
ENSG00000003989.17	SLC7A2	14	40	10	36	34	6
ENSG00000004059.11	ARF5	5084.987	5561.988	5575	5076.001	4674	5657.932
ENSG00000004139.14	SARM1	254	331.27	384	263	319	422
ENSG00000004142.12	POLDIP2	4258	4237	4224	4867	3959	5162
ENSG00000004399.12	PLXND1	24091.998	36704.001	28785.999	28408.999	29409.998	32217.002
ENSG00000004455.17	AK2	5488.869	5661.201	7074.692	5607.923	4973.34	7143.698
ENSG00000004468.13	CD38	17	24	30	18	19	34
ENSG00000004478.8	FKBP4	10278.999	12109.992	12742	11247.999	10686.243	14873
ENSG00000004487.16	KDM1A	3318.001	3408	3989	3477	2974	3876.999
ENSG00000004534.15	RBM6	4899.04	6070.998	5521.999	5760	5014.001	6037
ENSG00000004660.15	CAMKK1	2743	3141	2828	3506.254	2965	3065.999
ENSG00000004700.16	RECQL	3844.999	4357.001	4231.001	3836.999	3836	4277.001
ENSG00000004766.17	VPS50	1685.999	1842.999	1903.001	1697.999	1527	1989.998
ENSG00000004776.13	HSPB6	0	0	1	1	1	0
ENSG00000004777.18	ARHGAP33	170.002	157.999	167.999	182	126	234.001
ENSG00000004779.10	NDUFAB1	2752.001	2913	2618.999	2776.999	2519.001	2983
ENSG00000004799.8	PDK4	3652	3503.999	3387	2870	2725.999	3272
ENSG00000004809.14	SLC22A16	37	105	25.001	97	105	76
ENSG00000004838.14	ZMYND10	30	33	27	25.999	25	39
ENSG00000004846.16	ABCB5	9	7	0	55	39.999	10
ENSG00000004848.8	ARX	0	0	0	2	0	1
ENSG00000004864.13	SLC25A13	2467	3425	2871	2775.001	2874.001	3619.001
ENSG00000004866.20	ST7	614.484	636.999	642	683.001	628	551
ENSG00000004897.12	CDC27	3590.917	3428	3545.956	3538.99	3224.975	3697.954
ENSG00000004939.15	SLC4A1	0	0	1	0	0	1
ENSG00000004948.15	CALCR	1	0	3	2	0	2
ENSG00000004961.15	HCCS	2476	2649	2422.001	2361	2323	2416
ENSG00000004975.12	DVL2	1352.001	1955	1311.001	1881	1804	1823.001
ENSG00000005001.10	PRSS22	5	91.001	11	8	119	11
ENSG00000005007.12	UPF1	8089.999	9124.999	8722.998	8877.999	7810	9053.998
ENSG00000005020.13	SKAP2	9672	10686.001	11343.999	8170	8653	10952.999
ENSG00000005022.6	SLC25A5	15373	16054.999	15041.999	15917	14389.001	16598.999
ENSG00000005059.16	MCUB	329	466.999	765.999	280	320	652
ENSG00000005073.6	HOXA11	0	2	0	1	0	0
ENSG00000005075.15	POLR2J	1952.177	2120.528	1861.447	2038.962	1884.364	2188.729
ENSG00000005100.13	DHX33	1762.072	1737.437	1882.001	1847.309	1597.214	2067.164
ENSG00000005102.14	MEOX1	0	1	1	0	0	1
ENSG00000005108.16	THSD7A	0	3	0	0	0	0
ENSG00000005156.12	LIG3	1850.001	2339	2057.999	2166	2136	2311
ENSG00000005175.10	RPAP3	1546.001	1904.001	1667.001	1458.999	1620	1587
ENSG00000005187.12	ACSM3	72	25.999	54	23	26	39
ENSG00000005189.19	REXO5	57	76	51	51	74.001	59
ENSG00000005194.15	CIAPIN1	1953.751	1899.955	1829.864	2038.761	1789	2083.999
ENSG00000005206.17	SPPL2B	1620.429	1956.693	2019.289	1985.757	1534.626	2222.942
ENSG00000005238.19	FAM214B	5504.999	5483.999	5295	6493.999	5476.001	6246
ENSG00000005243.10	COPZ2	56	35	39	46.001	29	50
ENSG00000005249.13	PRKAR2B	197	370	251	227	314	263
ENSG00000005302.19	MSL3	4088.767	4031.825	4790.657	4279.273	3635.766	4532.65
ENSG00000005339.15	CREBBP	8367.999	8330.001	7523.001	8116	7093	8248
ENSG00000005379.17	TSPOAP1	327.999	506	382.999	469.999	517.999	411
ENSG00000005381.8	MPO	341	272	212	504.999	361	247
ENSG00000005421.9	PON1	0	0	0	0	0	0
ENSG00000005436.14	GCFC2	484	494	693.998	517	493	673.999
ENSG00000005448.17	WDR54	88.001	116.999	91	85	83.001	100.999
ENSG00000005469.11	CROT	222.001	260	314	243	240.001	327
ENSG00000005471.17	ABCB4	220.294	311.24	222.898	185.246	294.328	135.238
ENSG00000005483.21	KMT2E	9054.001	10455.001	9139	8275.999	8074	8972.998
ENSG00000005486.17	RHBDD2	15617	15680.001	18072	14175	12153.999	17084.001
ENSG00000005513.10	SOX8	22	44	13	36	45	13
ENSG00000005700.15	IBTK	7351	7068	7312.999	7002	6354.999	7668.999
ENSG00000005801.18	ZNF195	839.001	790.001	945.002	984	791.002	1065.002
ENSG00000005810.18	MYCBP2	8502	8342.001	6960	6319.999	5684.999	6562.001
ENSG00000005812.11	FBXL3	3286	3878	3225.001	3435	3490.001	3503.999
ENSG00000005844.18	ITGAL	28607.003	36876.002	40120.001	26188.999	30208.001	36996
ENSG00000005882.12	PDK2	309.999	399	354	337	384	380
ENSG00000005884.18	ITGA3	20	70.042	21.005	44	82.001	26.004
ENSG00000005889.15	ZFX	2032.291	3548	1917.518	2026.308	3248	2164.596
ENSG00000005893.16	LAMP2	12792	15546	13713.999	13955.999	14191.001	17079
ENSG00000005961.19	ITGA2B	1	8	4	4	8	2
ENSG00000005981.13	ASB4	2	0	0	0	0	0
ENSG00000006007.12	GDE1	4551.999	4388	4882	4521.001	3873.001	5167
ENSG00000006015.17	REX1BD	2697.001	2130.999	2897	3382.998	2015	3004.997
ENSG00000006016.11	CRLF1	2	2	0	0	2	1
ENSG00000006025.12	OSBPL7	43	57	60.001	61	55.001	45.001
ENSG00000006042.12	TMEM98	2	0	0	1	0	0
ENSG00000006047.13	YBX2	0	0	1	0	0	1
ENSG00000006059.4	KRT33A	0	0	0	0	0	0
ENSG00000006062.17	MAP3K14	3813	5104	4808	3926.999	4475	4741.999
ENSG00000006071.14	ABCC8	0	0	0	0	0	0
ENSG00000006116.3	CACNG3	0	0	0	0	0	0
ENSG00000006118.14	TMEM132A	1534.999	2093	1044	1701.999	1957	1010
ENSG00000006125.18	AP2B1	7589.889	7519.793	7716.855	8370.802	6958.655	8780.807
ENSG00000006128.12	TAC1	0	0	0	0	0	0
ENSG00000006194.10	ZNF263	1870	2070	2020	2203	1882	2212.001
ENSG00000006210.7	CX3CL1	14	51.999	7	12	38	3
ENSG00000006282.21	SPATA20	3138	3654	3149	4195	3205.999	3574
ENSG00000006283.18	CACNA1G	609	680.999	258	590	507.001	293
ENSG00000006327.13	TNFRSF12A	1330.999	1595.001	1624	1475	1407.001	1647
ENSG00000006377.11	DLX6	0	2	2	0	0	1.014
ENSG00000006432.15	MAP3K9	15	20	5	18	32	0
ENSG00000006451.8	RALA	3046.999	3739	2401	3390	3327.853	3060
ENSG00000006453.14	BAIAP2L1	3	11	7	16	10	2
ENSG00000006459.11	KDM7A	11768	14135	13055.999	9192.999	10696	11672
ENSG00000006468.14	ETV1	3	0	1	1	0	1
ENSG00000006530.18	AGK	903.999	1083	979.999	962	1032.999	1230.001
ENSG00000006534.16	ALDH3B1	9439.999	11724	8413.999	11267.998	9467	10167
ENSG00000006555.11	TTC22	0	0	0	1	1	0
ENSG00000006576.16	PHTF2	2777	2805.001	2908.999	2508	2398.001	3126.999
ENSG00000006606.8	CCL26	1	0	2	2	2	0
ENSG00000006607.14	FARP2	1719.001	1768.001	1602.999	1734	1537.001	1790.999
ENSG00000006611.16	USH1C	0	0	0	0	0	0
ENSG00000006625.18	GGCT	2450.524	2484.089	2525.987	2574.083	2277.279	2878.51
ENSG00000006634.8	DBF4	1268.993	1313.372	1194.777	1361.387	1198.87	1275.239
ENSG00000006638.12	TBXA2R	41	39	9	57	53	13
ENSG00000006652.14	IFRD1	1780	1989	1791.001	2251.999	2137.998	2437.001
ENSG00000006659.13	LGALS14	0	0	0	0	0	0
ENSG00000006695.12	COX10	1290.297	1265.711	1140.999	1325.987	1118.057	1276.887
ENSG00000006704.10	GTF2IRD1	318	661.001	164	577	677	335
ENSG00000006712.15	PAF1	2602.001	2804.999	2719	2779.999	2433	2855
ENSG00000006715.16	VPS41	5794	6853	5468	6687.999	5866	6808
ENSG00000006740.17	ARHGAP44	0	2	2	3	7	1
ENSG00000006744.19	ELAC2	2263	1914	2429	2347	1858.999	2694.001
ENSG00000006747.15	SCIN	77.999	162	68	206	192	162
ENSG00000006756.16	ARSD	1358.001	3228	1646	1461.999	2603.999	1840
ENSG00000006757.12	PNPLA4	168	333	197.001	228.999	347	253
ENSG00000006788.14	MYH13	0	0	0	0	0	0
ENSG00000006831.10	ADIPOR2	5537.001	6166.001	5860.001	5600.001	5396	6139
ENSG00000006837.12	CDKL3	39.814	48.805	21.7	51.629	41.968	35.918
ENSG00000007001.12	UPP2	0	0	0	0	2	0
ENSG00000007038.11	PRSS21	130.999	506.001	47	179	476	77
ENSG00000007047.15	MARK4	1385.999	1556.999	1420	1491.001	1301	1606.001
ENSG00000007062.11	PROM1	3	0	1	1	0	0
ENSG00000007080.11	CCDC124	3686	3496.999	3646	3736.001	3222	4206.001
ENSG00000007129.18	CEACAM21	113.001	161	231.001	116	130	201
ENSG00000007168.13	PAFAH1B1	11449.946	11663.369	11108.844	11419.959	10686.916	12011.924
ENSG00000007171.18	NOS2	2	4	2	1	0	1
ENSG00000007174.18	DNAH9	0	0	0	0	0	0
ENSG00000007202.15	KIAA0100	23018	23736	24178.998	22450.999	19892.999	23546
ENSG00000007216.14	SLC13A2	0	0	0	0	0	0
ENSG00000007237.18	AC005747.1	7856	9154.002	5362.001	8928	7979.998	8299
ENSG00000007255.10	TRAPPC6A	329.999	356.999	395	394	346	514
ENSG00000007264.15	MATK	10572.001	12570	6844	14900	13596.999	9248
ENSG00000007306.15	CEACAM7	0	0	0	0	0	0
ENSG00000007312.12	CD79B	6	13	10	6	13	19
ENSG00000007314.12	SCN4A	0	0	0	1	0	0
ENSG00000007341.19	ST7L	848	829.999	540	890.001	816.999	656
ENSG00000007350.17	TKTL1	0	1	0	3	9	2
ENSG00000007372.23	PAX6	4	4	3	1	0	1
ENSG00000007376.8	RPUSD1	1572	1649	1706	1777.999	1600.001	1855.001
ENSG00000007384.15	RHBDF1	117.999	285.001	152.001	276	319.999	163
ENSG00000007392.16	LUC7L	1743.999	1956.999	1841	2036.998	1831	2117.999
ENSG00000007402.11	CACNA2D2	3	1	3	3	2	2
ENSG00000007516.13	BAIAP3	17	29	11	16	22	12
ENSG00000007520.4	TSR3	1712	1790	1901	2069	1767	2261
ENSG00000007541.16	PIGQ	1525.001	1597.139	1460.057	1936	1459.91	1610.919
ENSG00000007545.16	CRAMP1	2485.927	2984.592	2407.046	2822.668	2562.792	2739.817
ENSG00000007866.21	TEAD3	43	112	32	60	124	42
ENSG00000007908.16	SELE	0	0	0	1	0	0
ENSG00000007923.16	DNAJC11	4499	4926.999	4529	5045	4368.001	5012
ENSG00000007933.13	FMO3	0	0	0	0	0	0
ENSG00000007944.15	MYLIP	215	285	282	230	231	246
ENSG00000007952.18	NOX1	0	0	0	0	0	0
ENSG00000007968.7	E2F2	41	28	43	42	19	67
ENSG00000008018.9	PSMB1	5808	6017	6011	6760	5634	6607
ENSG00000008056.14	SYN1	90.46	239.929	91.107	92.325	204.041	85.009
ENSG00000008083.14	JARID2	7941	11406	5273	9931	10129	6194
ENSG00000008086.13	CDKL5	221	227	276	217	222	260.001
ENSG00000008118.10	CAMK1G	15	37	17	87	90	100
ENSG00000008128.23	CDK11A	3309.105	5526.476	3431.52	4176.103	4643.849	3895.307
ENSG00000008130.15	NADK	9078.001	10973	8850	12245.999	9557.998	10730.001
ENSG00000008196.13	TFAP2B	3	0	2	0	0	0
ENSG00000008197.4	TFAP2D	0	0	1	0	0	0
ENSG00000008226.20	DLEC1	23	42	34	37	28	31
ENSG00000008256.16	CYTH3	607	806	706	676.999	625.001	831
ENSG00000008277.14	ADAM22	2	2	1	0	1	0
ENSG00000008282.8	SYPL1	2918.001	3091	3429	3253	2964.001	3672
ENSG00000008283.16	CYB561	462.999	585.001	469	563.001	530.999	623.999
ENSG00000008294.21	SPAG9	9503.002	12129	7315.999	12028	11073	9545.999
ENSG00000008300.17	CELSR3	163	367	317	200	348	398
ENSG00000008311.15	AASS	81	123	66	70	89	51
ENSG00000008323.15	PLEKHG6	0	0	0	1	0	2
ENSG00000008324.11	SS18L2	771.999	782	796	823.999	700	931
ENSG00000008382.15	MPND	1368.999	1717.999	1180	1580	1515	1357
ENSG00000008394.13	MGST1	7394	6455.001	5161	9371.001	7763.999	7273
ENSG00000008405.12	CRY1	886.001	1048	857	1011	854.999	1032.999
ENSG00000008438.5	PGLYRP1	0	0	0	0	0	0
ENSG00000008441.16	NFIX	86	144	170	98	114	155
ENSG00000008513.16	ST3GAL1	13916.999	24770	11689	22145	23999.999	20477
ENSG00000008516.17	MMP25	265	232	375.999	358	217	555
ENSG00000008517.16	IL32	8	18	7	16	15	22
ENSG00000008710.20	PKD1	4947.49	5434.257	5211.911	5676.393	4506.879	5436.109
ENSG00000008735.14	MAPK8IP2	14	25	23	24	17	22
ENSG00000008838.20	MED24	3541.999	3690.001	3615.001	4207	3403	4081.003
