Geneid	gene_name	mock.FE01_40	PFK158.FE01_13	unlabled.FE01_22	mock.FE01_30	DMSO.FE01_41	DMSO.FE01_31	DMSO.FE01_21	PFK158.FE01_33	mock.FE01_10	DMSO.FE01_11	unlabled.FE01_12	unlabled.FE01_32	PFK158.FE01_23	PFK158.FE01_43	mock.FE01_20	unlabled.FE01_42
ENSG00000223972	DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000227232	WASH7P	111	132	118	91	111	102	89	108	96	201	238	94	132	112	252	255
ENSG00000278267	MIR6859-1	12	13	9	4	15	16	10	7	22	37	28	6	17	14	30	20
ENSG00000243485	MIR1302-2HG	4	0	2	3	1	0	2	0	1	5	1	0	5	3	5	1
ENSG00000284332	MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000186092	OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	AL627309.1	0	1	1	0	1	3	0	1	0	1	2	0	0	1	2	0
ENSG00000239945	AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	CICP27	1	1	0	0	0	0	1	1	2	3	12	1	2	2	13	9
ENSG00000268903	AL627309.6	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
ENSG00000269981	AL627309.7	1	0	2	0	0	1	1	1	0	0	4	1	2	1	4	0
ENSG00000239906	AL627309.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000241860	AL627309.5	6	0	3	7	8	3	11	5	8	3	2	7	4	6	0	14
ENSG00000222623	RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	AL627309.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	FO538757.1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000279457	WASH9P	222	246	280	215	210	212	291	212	272	441	456	155	265	338	436	413
ENSG00000273874	MIR6859-2	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
ENSG00000228463	AP006222.1	9	6	11	12	13	15	7	10	13	12	16	7	12	16	18	19
